epoch,train_loss,train_coordinate_loss,train_js_loss,val_loss,val_coordinate_loss,val_js_loss,mean_nme,median_nme,p95_nme,mean_crop_coordinate_error_px,mean_original_pixel_error,pck_0.02,pck_0.05,pck_0.10,superior_endplate_angle_mae_deg,inferior_endplate_angle_mae_deg,left_height_mae_px,right_height_mae_px,height_ratio_mae,crop_boundary_peak_rate,backbone_lr,head_lr
1,0.43707034223173796,0.09873320333365547,0.3383371385435263,0.4227582514286041,0.08772476627610815,0.3350334851405559,0.05471134476917057,0.0464203338027018,0.1074640840879741,11.185225244801126,10.075602775013701,0.17955911823647294,0.5803607214428858,0.9007014028056112,3.2566845146312753,3.4114847672129316,8.056859480294937,8.599793747848825,0.09568380604739558,0.0,0.0001,0.0003
2,0.3598005270095248,0.07596101069724874,0.28383951629593707,0.3957904701431592,0.08142989407030818,0.3143605759415107,0.050878846587784105,0.04247369640664216,0.09660542083856154,10.382748134819444,9.448262745300427,0.1938877755511022,0.6245490981963928,0.920440881763527,3.095843852936924,3.2180024855084968,7.7695911906582396,8.06291927218692,0.09154314403926975,0.0,0.0001,0.0003
3,0.3230225432206664,0.06821551122457574,0.25480703186701265,0.3899983001443056,0.08114585098929894,0.308852448199804,0.05071613036913769,0.042106960929413365,0.09847662139448796,10.346486595016204,9.3953582132638,0.20260521042084167,0.6415831663326653,0.9191382765531062,2.9909345000777896,3.1607958918927914,7.795032923087672,7.903115544324897,0.09375014169027483,0.0,9.989401670031088e-05,0.0002996799090241712
4,0.30699492636087694,0.06490677217217652,0.24208815415438853,0.40753392302072966,0.0844928451264516,0.3230410788494807,0.052736338739118926,0.04454160721900491,0.09998441968891554,10.773019598767847,9.778120083188046,0.18647294589178356,0.606813627254509,0.9114228456913828,3.169575784306661,3.1272434543422354,7.604901632948595,8.245267594465846,0.1031378483097653,0.0,9.957652063800363e-05,0.0002987210067753846
5,0.30199520996395957,0.06464224109720243,0.23735296913471662,0.4063234576621117,0.08465505916720782,0.32166840054858953,0.052950344060893585,0.045117231160962175,0.10092958102901593,10.793298963649956,9.811465284644663,0.19278557114228456,0.6032064128256514,0.9082164328657315,2.9200187378843405,3.0365766893659503,7.850733870207332,8.655847538057342,0.08670499212142291,0.0,9.90488713799599e-05,0.00029712739942028293
6,0.282914270552104,0.0597624977217301,0.2231517728254722,0.39828050709687746,0.08211487897026998,0.31616562815048754,0.051303774154754976,0.043081971106675644,0.0993628151887074,10.470094149480602,9.479603032048788,0.20370741482965932,0.6264529058116233,0.9135270541082164,2.977748008911235,3.0556241757739455,7.419827454030018,8.24875308905319,0.0922817406900172,0.0,9.831332840130888e-05,0.00029490591103021566
7,0.28044019919869145,0.05982731764057749,0.2206128815123648,0.39012765483214307,0.08015451323575316,0.309973142372492,0.049975410035857294,0.04215686907347307,0.09570915075098536,10.220042599848133,9.293196984777078,0.20480961923847696,0.6328657314629259,0.9222444889779559,3.015778576108453,2.987381238321151,7.465353634863895,7.7802097464532345,0.08974852938656505,0.0,9.737304141000774e-05,0.0002920660543595183
8,0.267294779825106,0.057754669710176815,0.20954010958799668,0.40777442384606755,0.08361867726899874,0.3241557469830299,0.05211591680141848,0.04509108993400621,0.09760287149429718,10.661840028323248,9.76584887486913,0.19619238476953907,0.6057114228456913,0.9094188376753507,2.975659713549217,2.9795294056744415,7.706108861635003,7.947751896768814,0.09045292902965779,0.0,9.623203685930869e-05,0.0002886199901104373
9,0.2671341596105904,0.05683814478188492,0.2102960145395053,0.3988312680560809,0.08186422572590601,0.31696704330925757,0.05102796070209449,0.043016430026480104,0.09543103762214737,10.43768277827628,9.498241417931817,0.19799599198396794,0.6239478957915832,0.9151302605210421,3.0957188495955896,2.9890167126553577,7.24970825992326,7.935027969070292,0.09169732539470743,0.0,9.489520070586807e-05,0.00028458247485913684
10,0.2594347642669291,0.054970256415636916,0.20446450787416676,0.400602730229879,0.08259836952082622,0.3180043624761777,0.05156525438710662,0.04352631790958765,0.09676853915521587,10.531424048047267,9.471279367906268,0.20430861723446894,0.6144288577154309,0.9123246492985972,2.9623059404461167,3.0223443930580434,7.60589371807454,7.922426367180152,0.09399867662178019,0.0,9.336825748732972e-05,0.00027997079786577355
11,0.2533701842814161,0.05445888248076172,0.19891130157599324,0.40210321478736705,0.0828074171470526,0.3192957976880746,0.05165390985103876,0.04390005623883842,0.09808580230890991,10.558199177285234,9.544400318095336,0.20300601202404808,0.6170340681362726,0.9090180360721443,2.9675486157028583,2.993398116146637,7.757095429246635,7.952487382624333,0.09145681342193401,0.0,9.1657745808976e-05,0.0002748047070392305
12,0.2373892183072473,0.05157886892720534,0.18581034898627222,0.42543300661521083,0.087648489822944,0.3377845169833073,0.05470538076712448,0.047252634958345176,0.10275311980629445,11.175258573788202,10.04939482186736,0.1841683366733467,0.5808617234468938,0.8923847695390782,2.991722965250029,3.002826115765771,7.878377084813055,8.336765203297805,0.09159351527102413,0.0,8.977099034441615e-05,0.0002691063243735396
13,0.2317361088012133,0.04999076827886727,0.18174534083523772,0.41278366486613566,0.08471096911204931,0.3280726960645272,0.052844770041548896,0.045641480786176886,0.09915339697884341,10.799983787154387,9.724029073190469,0.19779559118236473,0.6044088176352705,0.9047094188376753,2.9995056715792914,2.999741001220422,7.468893340125897,7.961642871233698,0.08735551203599667,0.0,8.771607047020939e-05,0.0002629000512181071
14,0.22751025708490297,0.04891325294350584,0.17859700412669202,0.397968500183943,0.08147352434790288,0.3164949769106431,0.05082797621124353,0.043616497108341826,0.09633152175576973,10.388031813137994,9.404803405514413,0.20040080160320642,0.6251503006012024,0.9147294589178356,2.970309055955736,3.006707673525547,7.284733460217784,7.608653606973678,0.09012623799077056,0.0,8.55017856687341e-05,0.00025621246378738883
15,0.2256610829187067,0.049322428368848925,0.1763386545588442,0.40246326227982837,0.08290431942217626,0.319558944982978,0.05165393445641581,0.04448553263179744,0.09699305299497668,10.569146642895165,9.553529525137908,0.19619238476953907,0.6128256513026052,0.9175350701402806,3.036730716475378,3.236940372483391,7.637884319772349,7.735680004076901,0.09451963421503283,0.0,8.31376178474534e-05,0.00024907219935746026
16,0.21732411363995388,0.04668057510678313,0.17064353816145866,0.4040799783781553,0.08255870479087417,0.3215212739335421,0.05152470895317845,0.04401964279938348,0.09869668558523594,10.525659876882672,9.53041088568998,0.20200400801603208,0.6171342685370741,0.9134268537074148,2.9512075634158834,3.0671824896817963,7.573707500622436,7.866392947483255,0.09240632114571418,0.0,8.063369073593168e-05,0.0002415098336368037
17,0.21401192357502224,0.0472828824628602,0.16672904124614177,0.40682662402590114,0.08373657479070318,0.3230900485546161,0.05218913310582945,0.044535408782479746,0.09861363627554853,10.675486437352243,9.612424755013388,0.19669338677354709,0.6110220440881764,0.9118236472945892,3.1248215911583213,3.161466932110949,7.840106409567806,7.937217302283108,0.09767028229065922,0.0,7.800072653447032e-05,0.0002335577498364305
