split,method,output,unit,samples,baseline_mae,model_mae,baseline_rmse,model_rmse,baseline_r2,model_r2,model_median_absolute_error,model_p90_absolute_error,model_p95_absolute_error,baseline_within_5pct_reference_percent,model_within_5pct_reference_percent,baseline_within_10pct_reference_percent,model_within_10pct_reference_percent,relative_mae_improvement_percent
val,xgboost_all_visible_vertebrae,mean_height,fraction_of_context_median_height,2084,0.07414191732259846,0.06226249819167145,0.11020877033887887,0.08984939489360075,0.03645101951128504,0.35956981071069194,0.05040196468985669,0.1376100826561267,0.17132663968649472,50.611069486069496,54.20292207792209,76.52156177156179,81.34586247086247,16.0225410400955
test,xgboost_all_visible_vertebrae,mean_height,fraction_of_context_median_height,2168,0.07490705396880053,0.0631181538734909,0.11003794152338951,0.0898361640327297,-0.10954399730750852,0.2604594154977272,0.049345182541875254,0.14358179559484824,0.18724236156939097,50.220198459998066,55.29402097714507,75.02717344086248,81.02001424858742,15.738037301827157
