image,source_dataset,image_id,annotation_id,detector_index,detector_score,center_distance_px,center_distance_fraction,bbox_diagonal_px,baseline_corner_error_px,two_stage_corner_error_px,baseline_nme,two_stage_nme
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2048,0,0.88168865442276,1.0716078281402588,0.009290240705013275,115.34769439697266,3.749267101287842,2.2955379486083984,0.03250404819846153,0.019901029765605927
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2049,11,0.6838444471359253,1.0475904941558838,0.009464017115533352,110.69194793701172,5.730770587921143,2.984706401824951,0.05177224427461624,0.026964079588651657
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2033,17,0.2324446141719818,1.1852525472640991,0.015447541140019894,76.72758483886719,5.186722278594971,3.027975082397461,0.06759918481111526,0.03946397081017494
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2043,8,0.7356311678886414,2.1479897499084473,0.024770252406597137,86.71650695800781,2.4096426963806152,1.892341136932373,0.0277875903993845,0.021822156384587288
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2034,12,0.5590882301330566,2.245290756225586,0.03053346462547779,73.53540802001953,3.1748576164245605,3.028865098953247,0.04317454248666763,0.04118920490145683
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2047,5,0.815099835395813,3.256211757659912,0.030752811580896378,105.88338470458984,3.9791579246520996,2.672527313232422,0.037580568343400955,0.02524028904736042
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2046,3,0.8230213522911072,3.504673480987549,0.034509170800447464,101.5577392578125,4.1096930503845215,2.6681933403015137,0.040466565638780594,0.026272673159837723
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2036,9,0.732803463935852,2.617586612701416,0.03687469661235809,70.9859848022461,4.481814384460449,2.6664252281188965,0.06313660740852356,0.03756269812583923
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2045,4,0.8161225914955139,3.9860312938690186,0.03941752016544342,101.12333679199219,4.124948024749756,2.7585675716400146,0.040791258215904236,0.027279237285256386
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2044,6,0.7781040072441101,3.7544798851013184,0.04119662195444107,91.13562774658203,4.157164573669434,1.5837852954864502,0.04561514034867287,0.01737833395600319
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2035,7,0.7461126446723938,2.8929834365844727,0.0454556979238987,63.644020080566406,4.065019607543945,2.193767547607422,0.06387119740247726,0.03446934372186661
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2038,2,0.8233066201210022,3.822260618209839,0.05052090436220169,75.65701293945312,5.103609085083008,3.1700363159179688,0.0674571841955185,0.04190009832382202
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2039,10,0.6914939284324646,3.7069830894470215,0.05054705962538719,73.33726501464844,4.263998985290527,2.9579010009765625,0.058142323046922684,0.0403328500688076
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2037,1,0.8454335331916809,5.185488700866699,0.0709938034415245,73.04142761230469,5.926289081573486,2.462045431137085,0.08113599568605423,0.033707521855831146
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2042,14,0.42932093143463135,6.455505847930908,0.08206126093864441,78.66690826416016,7.588520050048828,4.176177024841309,0.09646394103765488,0.05308683216571808
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2040,13,0.5513275265693665,11.772063255310059,0.15279945731163025,77.04257202148438,12.147354125976562,8.608348846435547,0.15767067670822144,0.11173496395349503
images/mendeley_pa/MENDE-PA-00003.jpg,mendeley_pa,403,2041,18,0.2148207426071167,13.784154891967773,0.17168927192687988,80.28547668457031,14.020992279052734,13.689704895019531,0.17463921010494232,0.1705128401517868
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2091,0,0.8435797691345215,2.2927780151367188,0.008351794444024563,274.52520751953125,8.995078086853027,10.72182559967041,0.0327659472823143,0.03905588760972023
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2092,3,0.8043227195739746,4.544395446777344,0.01757122576236725,258.6271057128906,5.596217632293701,9.285703659057617,0.02163817174732685,0.03590383008122444
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2093,2,0.8097066879272461,5.6457695960998535,0.02349674142897129,240.27883911132812,7.535087585449219,7.918440818786621,0.03135976195335388,0.03295521438121796
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2082,9,0.619411051273346,3.870241165161133,0.026971474289894104,143.49386596679688,5.3375139236450195,7.028560638427734,0.0371968075633049,0.04898161068558693
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2089,5,0.7716363072395325,6.587800979614258,0.028907161206007004,227.89512634277344,7.976924419403076,9.775272369384766,0.035002611577510834,0.042893730103969574
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2094,1,0.8155296444892883,6.694221496582031,0.0295500960201025,226.53805541992188,11.590219497680664,9.601633071899414,0.05116235092282295,0.04238419607281685
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2085,12,0.4941389262676239,5.900500774383545,0.03198375180363655,184.4843292236328,8.438150405883789,4.889692783355713,0.04573911800980568,0.026504650712013245
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2095,6,0.7350061535835266,8.582684516906738,0.03527823090553284,243.2855682373047,9.829900741577148,6.723093032836914,0.0404047854244709,0.027634574100375175
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2090,4,0.775331437587738,8.897638320922852,0.035731349140405655,249.014892578125,9.023392677307129,9.055248260498047,0.03623635694384575,0.03636428341269493
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2084,13,0.4719139337539673,6.857933521270752,0.03717352822422981,184.4843292236328,8.04626750946045,6.540877342224121,0.043614909052848816,0.035454921424388885
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2088,11,0.554482102394104,7.565456867218018,0.03865610435605049,195.7118377685547,14.988189697265625,14.03797721862793,0.07658294588327408,0.07172778993844986
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2096,14,0.4443466067314148,8.601844787597656,0.0386577770113945,222.5126495361328,22.36052703857422,17.184795379638672,0.10049103945493698,0.07723064720630646
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2087,10,0.61128830909729,8.71753215789795,0.04520239681005478,192.85552978515625,14.667413711547852,15.352901458740234,0.07605389505624771,0.07960830628871918
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2086,7,0.7168393135070801,8.820863723754883,0.04635253921151161,190.29946899414062,12.233112335205078,6.693203926086426,0.06428348273038864,0.03517195209860802
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2081,15,0.3943506181240082,7.006615161895752,0.048411864787340164,144.7292938232422,10.4345121383667,8.480179786682129,0.07209675014019012,0.05859338864684105
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2083,8,0.6459058523178101,8.77387523651123,0.05139865353703499,170.7024383544922,13.776119232177734,8.820073127746582,0.0807025358080864,0.05166928470134735
images/mendeley_pa/MENDE-PA-00006.jpg,mendeley_pa,406,2080,16,0.14584989845752716,11.367517471313477,0.07216339558362961,157.5247039794922,12.817405700683594,10.885026931762695,0.08136758953332901,0.06910044699907303
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2236,2,0.8914124965667725,0.5724143385887146,0.004690140951424837,122.04630279541016,3.513227701187134,4.165406703948975,0.02878602407872677,0.03412972390651703
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2241,4,0.8818907141685486,1.9358707666397095,0.010882088914513588,177.8951416015625,6.343381404876709,6.3814520835876465,0.03565797954797745,0.03587198629975319
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2237,13,0.7030395865440369,1.6749948263168335,0.011061553843319416,151.42491149902344,5.840297698974609,6.05661153793335,0.03856893628835678,0.03999745845794678
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2244,6,0.8480270504951477,3.4050533771514893,0.018585164099931717,183.21351623535156,8.302783966064453,6.346311569213867,0.04531753063201904,0.03463888168334961
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2232,9,0.8007615208625793,2.7449915409088135,0.02017754688858986,136.04188537597656,9.49724006652832,9.299742698669434,0.069811150431633,0.06835940480232239
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2246,16,0.4859122931957245,5.314749717712402,0.025063177570700645,212.05410766601562,7.639837741851807,5.215001106262207,0.03602777421474457,0.02459278516471386
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2235,0,0.9099774360656738,3.3172495365142822,0.027173323556780815,122.07743072509766,5.286613464355469,5.066810607910156,0.0433054119348526,0.04150489345192909
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2242,10,0.7808826565742493,5.901245594024658,0.031219283118844032,189.02566528320312,6.240836143493652,10.941268920898438,0.033015813678503036,0.05788245052099228
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2245,5,0.8746771812438965,7.522451400756836,0.03562895208597183,211.1331024169922,8.78071403503418,2.9069371223449707,0.041588522493839264,0.013768267817795277
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2234,7,0.8294327259063721,4.765143871307373,0.03834661468863487,124.26505279541016,5.654324531555176,4.983100891113281,0.045502129942178726,0.0401005819439888
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2230,15,0.5725182890892029,5.014942169189453,0.04131653904914856,121.3785629272461,6.975335121154785,6.97873067855835,0.05746760219335556,0.05749557912349701
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2243,8,0.8113323450088501,8.060641288757324,0.04328494891524315,186.2227325439453,10.214935302734375,8.631160736083984,0.05485332012176514,0.046348586678504944
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2231,14,0.6989215016365051,5.949137210845947,0.04864884167909622,122.28733825683594,5.961638927459717,6.509434700012207,0.048751071095466614,0.0532306507229805
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2240,3,0.8842031955718994,9.675214767456055,0.049037665128707886,197.30169677734375,10.395727157592773,11.466754913330078,0.05268949642777443,0.05811787396669388
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2238,12,0.7275511026382446,9.63511848449707,0.059259895235300064,162.59088134765625,11.665433883666992,4.560246467590332,0.07174716144800186,0.02804736979305744
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2247,18,0.11025132983922958,16.275802612304688,0.06644216924905777,244.96194458007812,23.07383918762207,26.306293487548828,0.09419356286525726,0.10738930851221085
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2233,1,0.9071906805038452,8.42534351348877,0.07006661593914032,120.24761962890625,8.822715759277344,5.655787944793701,0.07337123155593872,0.04703450947999954
images/mendeley_pa/MENDE-PA-00016.jpg,mendeley_pa,416,2239,11,0.7775927782058716,13.193765640258789,0.07256927341222763,181.8092498779297,13.538013458251953,15.151494979858398,0.07446273416280746,0.08333731442689896
images/mendeley_pa/MENDE-PA-00023.jpg,mendeley_pa,422,2335,1,0.8722631335258484,0.6169820427894592,0.003579111769795418,172.38412475585938,5.769558906555176,7.149491310119629,0.033469200134277344,0.04147418588399887
images/mendeley_pa/MENDE-PA-00023.jpg,mendeley_pa,422,2337,4,0.805573582649231,1.0689641237258911,0.005632915999740362,189.77101135253906,5.350512504577637,7.051100730895996,0.028194572776556015,0.03715583682060242
images/mendeley_pa/MENDE-PA-00023.jpg,mendeley_pa,422,2342,11,0.7259678840637207,1.5816431045532227,0.0072551206685602665,218.00369262695312,5.201952934265137,4.313452243804932,0.02386176586151123,0.01978614367544651
images/mendeley_pa/MENDE-PA-00023.jpg,mendeley_pa,422,2333,9,0.7579500675201416,1.4014708995819092,0.008806203491985798,159.1458740234375,2.391345977783203,5.04585075378418,0.015026126056909561,0.0317058227956295
images/mendeley_pa/MENDE-PA-00023.jpg,mendeley_pa,422,2334,0,0.8851701617240906,2.6250123977661133,0.015354858711361885,170.9564666748047,8.558351516723633,9.233526229858398,0.050061583518981934,0.05401097983121872
