split,source_dataset,output,unit,samples,baseline_mae,model_mae,unweighted_model_mae,model_median_absolute_error,model_p90_absolute_error,model_p95_absolute_error,relative_mae_improvement_percent,baseline_mae_px,model_mae_px,model_p95_absolute_error_px
val,BUU AP,left_height,normalized,40,0.07501458543356884,0.068349161389935,0.068349161389935,0.04026662234211882,0.12521334275233725,0.21593863645005995,8.885504072453456,12.493723501728436,11.28293915924931,35.726611838493156
val,BUU AP,right_height,normalized,40,0.06424570944343214,0.06161546979782473,0.06161546979782473,0.03273644310819827,0.11191676093038937,0.19878939281635277,4.094031598986876,10.676249358369123,10.23412096983922,35.08625867613024
val,BUU AP,superior_width,normalized,40,0.025060331569595466,0.024942067094427506,0.024942067094427506,0.021361422239688045,0.058462820662308006,0.07933349488191799,0.4719190360252264,9.176173149972518,9.14824014472619,26.34165466130564
val,BUU AP,inferior_width,normalized,40,0.029587553182450883,0.02826627292996468,0.02826627292996468,0.02377207633277887,0.05559758383990903,0.08261110980116447,4.465662450485725,10.704790242350342,10.264373016634568,34.89172931714106
val,BUU AP,orientation,degrees,40,1.3360824542744751,0.9748011920696605,0.9748011920696605,0.7629123801416569,1.8744275766562697,2.5450873017146867,27.040341787962408,,,
val,Mendeley PA,left_height,normalized,160,0.11004735064891764,0.10878481071026622,0.1087848107102662,0.08285657700231852,0.24029482879416578,0.29822309018818977,1.1472697263556022,6.904266900789108,6.847773716197352,21.51480278148346
val,Mendeley PA,right_height,normalized,160,0.09594260548610728,0.09504060454999834,0.09504060454999833,0.06869055601528021,0.20579311663721556,0.2558676126934284,0.9401463839123614,6.134700849750943,6.076154913988767,19.605580248764717
val,Mendeley PA,superior_width,normalized,160,0.04906566516217173,0.04852333442823998,0.04852333442823996,0.030969485822408542,0.10560527734138203,0.12736159248775017,1.1053161760657662,5.235629696165654,5.1601568300327285,16.700010392320134
val,Mendeley PA,inferior_width,normalized,160,0.05789730085666591,0.05980847903470938,0.05980847903470937,0.047489633813998414,0.1191664079317398,0.15314479709983952,-3.3009797516725308,6.521477066583047,6.631638501836696,22.400068350529597
val,Mendeley PA,orientation,degrees,160,3.6220257527757695,3.5715379051934875,3.5715379051934866,1.4354598824391331,4.4511345269059115,5.63812538211651,1.3939118887708157,,,
test,BUU AP,left_height,normalized,40,0.060187546970584684,0.05841181202694988,0.05841181202694988,0.04710661458715312,0.11865392340689031,0.15145072063486686,2.950336129336944,10.460115473352555,10.266628498034404,22.999628873755576
test,BUU AP,right_height,normalized,40,0.05570161736311989,0.053823753274182665,0.053823753274182665,0.03835457779045796,0.12125435114489184,0.19682008648390797,3.3712918544095305,9.6904567181325,9.372991530412236,24.6752344934669
test,BUU AP,superior_width,normalized,40,0.02661988522182736,0.024768053868538215,0.024768053868538215,0.01856091300116182,0.04610401546048835,0.053596059374177704,6.956571517335883,8.610837582948523,8.101635791767645,17.772797986466838
test,BUU AP,inferior_width,normalized,40,0.025349602312110676,0.02406046067231336,0.02406046067231336,0.015415279774543872,0.05335724120785662,0.057538197793279434,5.0854511401207825,8.227788093412977,7.878012168111113,18.826113894359636
test,BUU AP,orientation,degrees,40,1.7796312292221388,1.4569951310092377,1.4569951310092377,0.9934158430546418,3.1853630258433427,3.7646419229908648,18.12937944193767,,,
test,Mendeley PA,left_height,normalized,160,0.07850370783852334,0.07740824527538988,0.07694571460407806,0.052704449663872326,0.16714273446945907,0.226817957170455,1.3954277999030977,7.5834414485898645,7.467596817505024,27.40823446472646
test,Mendeley PA,right_height,normalized,160,0.07719940675973685,0.07706438571037416,0.0772252575696794,0.062421744995058606,0.15534001494728916,0.17029069535612534,0.17489907633994076,7.342760361396428,7.356939647823937,24.918813797916798
test,Mendeley PA,superior_width,normalized,160,0.05014864274140798,0.049734756620567186,0.04968110604472041,0.042700579981785475,0.09965390354058995,0.11659844053309079,0.8253186890321225,7.576344905607989,7.51304617758936,21.641244824251874
test,Mendeley PA,inferior_width,normalized,160,0.046188374787376904,0.04825879300415704,0.048348630553007935,0.037390941104658654,0.09787517555126125,0.13073815188612958,-4.482552647308062,7.391491275034719,7.688358126255751,28.73689563897264
test,Mendeley PA,orientation,degrees,160,1.7452420920910499,1.6248482194313543,1.6190283425735028,1.3040466390685808,3.3852561990154393,4.134839763303154,6.898405281724926,,,
